TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,PPG_Ambient,PPG_IR,PPG_Red,Heart_Rate,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2025-04-17 20:21:54.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-1C98
2025-04-17 20:21:54.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-04-17 20:21:55.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-04-17 20:21:55.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-04-17 20:21:55.810,1.357963859416953,0,0,1.694713857753966,1.567764529357036,0,0,1.418885251494921,1.503918771841106,0,0,1.37486682466625,1.213734963307775,0,0,1.315996532435525,0.6647962010853992,0,0,0.7696755223575729,894.908424908425,875.1648351648352,733.7362637362637,872.7472527472528,802.6373626373627,0.221436,0.183228,0.964661,0.485992,-1.749573,0.067291,617289.377289,105678974.358974,81857728.937729,86.904755,1,2,2,4,2,40.000000
2025-04-17 20:21:56.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-04-17 20:21:56.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-04-17 20:21:56.629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-04-17 20:21:56.810,1.357963859416953,0,0,1.694713857753966,1.567764529357036,0,0,1.418885251494921,1.503918771841106,0,0,1.37486682466625,1.213734963307775,0,0,1.315996532435525,0.6647962010853992,0,0,0.7696755223575729,757.5091575091575,1001.684981684982,307.8388278388279,762.7472527472528,614.4688644688645,-0.064453,0.260925,0.958740,-7.521667,2.474823,-18.101349,482710.622711,106343003.663004,76427838.827839,84.667480,1,2,2,4,2,40.000000
2025-04-17 20:21:56.826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-04-17 20:21:57.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
