TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,PPG_Ambient,PPG_IR,PPG_Red,Heart_Rate,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2025-05-02 21:05:18.530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-1C98
2025-05-02 21:05:18.598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-05-02 21:05:19.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-05-02 21:05:19.458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-05-02 21:05:19.532,1.265114964293685,0.4963731352972441,0,1.066500447125295,0.9483211111213155,-0.1654424584398443,0,0.6798293689554217,0.7908857488209493,0.6726369212805148,0,1.015184630635344,0.6638663222859136,1.234874070941014,0,1.257470654686092,0.3792576103708738,0.5058043094805982,0,0.6299894652177358,880,857.032967032967,775.2380952380953,838.901098901099,601.978021978022,-0.119019,-0.023438,1.000549,0.186920,-0.837402,-0.082245,412600.732601,127450109.890110,76040219.780220,78.370369,1,2,1,2,2,80.000000
2025-05-02 21:05:19.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-05-02 21:05:19.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-05-02 21:05:20.531,1.265114964293685,0.4963731352972441,0,1.066500447125295,0.9483211111213155,-0.1654424584398443,0,0.6798293689554217,0.7908857488209493,0.6726369212805148,0,1.015184630635344,0.6638663222859136,1.234874070941014,0,1.257470654686092,0.3792576103708738,0.5058043094805982,0,0.6299894652177358,927.5457875457876,855.8241758241759,931.1721611721612,924.7252747252747,629.7802197802198,-0.123596,-0.024780,0.996948,0.269165,-0.598145,-1.413116,416630.036630,127538754.578755,76266666.666667,78.644699,1,2,1,2,2,80.000000
2025-05-02 21:05:20.590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-05-02 21:05:21.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-05-02 21:05:21.537,1.265114964293685,0.4963731352972441,0,1.066500447125295,0.9483211111213155,-0.1654424584398443,0,0.6798293689554217,0.7908857488209493,0.6726369212805148,0,1.015184630635344,0.6638663222859136,1.234874070941014,0,1.257470654686092,0.3792576103708738,0.5058043094805982,0,0.6299894652177358,823.5897435897436,821.5750915750916,522.1978021978022,711.1721611721612,597.1428571428571,-0.124329,-0.028320,0.998230,0.246735,-1.405640,-0.074768,419047.619048,127685421.245421,76314212.454212,78.116592,1,2,1,2,2,80.000000
2025-05-02 21:05:21.579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-05-02 21:05:21.984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-05-02 21:05:22.492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-05-02 21:05:22.531,1.477829718079079,0.4963731352972441,0,1.066500447125295,0.7047223864020664,-0.1654424584398443,0,0.6798293689554217,0.8020918375046787,0.6726369212805148,0,1.015184630635344,0.7890687913224542,1.234874070941014,0,1.257470654686092,0.07021509887200668,0.5058043094805982,0,0.6299894652177358,869.1208791208792,853.4065934065934,805.0549450549451,838.0952380952381,520.5860805860806,-0.121643,-0.022705,1.000732,0.508423,-0.949554,-0.508423,413406.593407,127495238.095238,76299706.959707,77.716904,1,1,1,2,1,80.000000
2025-05-02 21:05:22.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-05-02 21:05:23.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-05-02 21:05:23.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-05-02 21:05:23.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-05-02 21:05:23.531,1.45479124786494,0.4963731352972441,0,1.066500447125295,0.7139519407910428,-0.1654424584398443,0,0.6798293689554217,0.8581977932876917,0.6726369212805148,0,1.015184630635344,0.8112996133389644,1.234874070941014,0,1.257470654686092,0.1476157368909045,0.5058043094805982,0,0.6299894652177358,871.1355311355312,837.2893772893773,916.6666666666667,919.0842490842491,680.1465201465202,-0.121216,-0.019104,0.998352,0.650482,-2.669220,-0.179443,415824.175824,127410622.710623,76301318.681319,77.716904,1,1,1,2,1,80.000000
2025-05-02 21:05:24.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-05-02 21:05:24.531,1.236937822262851,0.4963731352972441,0,1.066500447125295,0.6609390368307146,-0.1654424584398443,0,0.6798293689554217,0.6812291771094036,0.6726369212805148,0,1.015184630635344,0.8005890867381066,1.234874070941014,0,1.257470654686092,0.1748401828288177,0.5058043094805982,0,0.6299894652177358,838.4981684981685,805.4578754578755,448.4615384615385,762.7472527472528,754.2857142857143,-0.112305,-0.023926,0.998230,0.299072,-2.287903,-0.463562,418241.758242,127429963.369963,76253772.893773,77.482185,1,1,1,2,1,80.000000
